"id_citizens","last_name","first_name","patronymic","birthday","settlement_of_birth","address_registration","working_place","post","criminal_record","count_record","passport_series_and_number","family_status","education","citizenship"
1,Иванов,Иван,Иванович,"1985-05-15",1,"ул. Ленина, д. 10, кв. 5",1,1,0,0,4510123456,2,4,1
2,Петров,Петр,Петрович,"1990-08-20",2,"пр. Мира, д. 25, кв. 12",2,2,1,2,4510123457,1,2,1
3,Сидорова,Мария,Сергеевна,"1988-03-10",3,"ул. Советская, д. 8",3,3,0,0,4510123458,2,4,1
4,Козлов,Алексей,Дмитриевич,"1992-11-25",4,"пер. Школьный, д. 3, кв. 7",4,4,1,2,4510123459,3,2,1
5,Новикова,Елена,Владимировна,"1987-07-30",5,"ул. Центральная, д. 15",5,11,0,0,4510123460,2,4,1
6,Волков,Дмитрий,Андреевич,"1995-02-14",6,"пр. Победы, д. 40, кв. 23",6,12,0,0,4510123461,1,2,1
7,Лебедева,Ольга,Игоревна,"1991-09-05",7,"ул. Садовая, д. 12",7,13,1,1,4510123462,2,4,1
8,Соколов,Сергей,Викторович,"1983-12-18",8,"ул. Лесная, д. 5, кв. 9",8,14,0,0,4510123463,4,4,1
9,Морозов,Андрей,Николаевич,"1993-06-22",9,"пр. Строителей, д. 18",9,15,1,3,4510123464,1,2,1
10,Зайцева,Наталья,Петровна,"1989-04-08",10,"ул. Молодежная, д. 7, кв. 15",10,16,0,0,4510123465,2,4,1
11,Павлов,Михаил,Олегович,"1994-01-30",11,"ул. Новая, д. 22",6,13,0,0,4510123466,2,4,1
12,Федорова,Ирина,Александровна,"1986-10-12",12,"пр. Ленинградский, д. 35",7,14,1,1,4510123467,3,4,1
13,Никитин,Виктор,Сергеевич,"1990-07-25",13,"ул. Весенняя, д. 9, кв. 4",8,15,0,0,4510123468,2,4,1
14,Орлова,Юлия,Дмитриевна,"1992-03-18",14,"ул. Осенняя, д. 14",9,16,0,0,4510123469,1,2,1
15,Медведев,Максим,Владимирович,"1988-11-05",15,"пр. Киевский, д. 28, кв. 11",10,17,1,2,4510123470,2,4,1
16,Романова,Светлана,Ивановна,"1991-08-15",16,"ул. Зеленая, д. 6",6,18,0,0,4510123471,2,4,1
17,Жуков,Роман,Алексеевич,"1987-05-20",17,"ул. Красная, д. 17, кв. 8",7,19,0,0,4510123472,2,2,1
18,Белова,Татьяна,Сергеевна,"1993-02-28",18,"пр. Московский, д. 42",8,20,1,1,4510123473,1,2,1
19,Крылов,Артем,Викторович,"1989-09-10",19,"ул. Речная, д. 11, кв. 6",11,12,0,0,4510123474,2,4,1
20,Антонова,Екатерина,Олеговна,"1994-12-03",20,"ул. Горная, д. 3",12,2,0,0,4510123475,1,2,1
21,Васильев,Александр,Петрович,"1985-03-15",1,"ул. Пушкина, д. 15",1,1,0,0,4510123476,2,4,1
22,Михайлова,Ольга,Владимировна,"1990-07-22",2,"пр. Гагарина, д. 8",2,2,0,0,4510123477,1,2,1
23,Фролов,Денис,Сергеевич,"1988-11-30",3,"ул. Чехова, д. 12",3,3,1,1,4510123478,3,4,1
24,Алексеева,Надежда,Ивановна,"1992-04-18",4,"пер. Солнечный, д. 5",4,4,0,0,4510123479,2,2,1
25,Григорьев,Сергей,Андреевич,"1987-09-25",5,"ул. Лесная, д. 20",5,11,0,0,4510123480,1,4,1
26,Киселева,Анна,Михайловна,"1995-01-10",6,"пр. Ленина, д. 45",6,12,1,2,4510123481,2,4,1
27,Тихонов,Андрей,Викторович,"1991-06-15",7,"ул. Садовая, д. 18",7,13,0,0,4510123482,4,2,1
28,Семенова,Людмила,Петровна,"1989-08-20",8,"ул. Центральная, д. 30",8,14,0,0,4510123483,2,4,1
29,Макаров,Владимир,Олегович,"1993-03-05",9,"пр. Мира, д. 22",9,15,1,1,4510123484,1,2,1
30,Зимина,Елена,Александровна,"1986-12-12",10,"ул. Новая, д. 14",10,16,0,0,4510123485,3,4,1
31,Сидоров,Алексей,Петрович,"2010-11-08",1,"ул. Тестовая, д. 1",1,1,0,0,4510123999,1,1,1
